train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,45.6140350877193,0.954337224767253,570,45.6140350877193
4,44.0350877192982,0.955646097658806,570,44.0350877192982
6,52.280701754386,0.85798729126644,570,52.280701754386
8,52.280701754386,0.859612826954337,570,52.280701754386
10,52.4561403508772,0.851252929130866,570,52.4561403508772
12,52.4561403508772,0.851189596571597,570,52.4561403508772
14,52.4561403508772,0.852857353965674,570,52.4561403508772
16,52.4561403508772,0.855643986573498,570,52.4561403508772
18,52.4561403508772,0.853575122970719,570,52.4561403508772
20,51.5789473684211,0.85004961050476,570,51.5789473684211
25,95.0877192982456,0.987797926914227,570,95.0877192982456
30,95.9649122807018,0.988241254829108,570,95.9649122807018
35,96.140350877193,0.989444573455213,570,96.140350877193
40,96.3157894736842,0.989402351749034,570,96.3157894736842
45,96.3157894736842,0.989402351749034,570,96.3157894736842
50,96.140350877193,0.989444573455213,570,96.140350877193
55,95.0877192982456,0.988726804450168,570,95.0877192982456
60,94.9122807017544,0.988705693597078,570,94.9122807017544
