train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,,,
6,,,
8,,,
10,,,
12,,,
14,88.283378746594,0.953104601462882,88.0837359098229
16,90.4632152588556,0.961080708907846,90.4991948470209
18,89.7820163487739,0.916201691793193,89.6940418679549
20,88.8283378746594,0.911891732389077,88.5668276972625
25,89.1008174386921,0.96352182699358,89.0499194847021
30,88.283378746594,0.922022819536098,88.0837359098229
35,88.5558583106267,0.914824650821754,88.2447665056361
40,94.550408719346,0.986645385124381,94.8470209339775
45,94.9591280653951,0.9832743172917,95.3301127214171
50,94.2779291553134,0.977632026038593,94.524959742351
55,94.4141689373297,0.960919756067028,94.8470209339775
60,92.3705722070845,0.974842176797754,91.7874396135266
65,94.6866485013624,0.981718439830463,94.524959742351
70,90.8719346049046,0.969942056977306,90.0161030595813
75,90.5994550408719,0.965882468658905,90.0161030595813
80,91.8256130790191,0.970639519287515,91.6264090177134
85,95.5040871934605,0.98263050592843,95.9742351046699
90,90.8719346049046,0.968082157483413,90.4991948470209
95,93.8692098092643,0.978544092136559,93.8808373590982
100,93.8692098092643,0.977497898671245,93.8808373590982
200,95.0953678474114,0.984088023320278,95.3301127214171
300,94.4141689373297,0.981718439830463,94.524959742351
400,95.7765667574932,0.984177441565177,95.8132045088567
500,96.0490463215259,0.986198293899887,96.1352657004831
600,96.0490463215259,0.986064166532539,96.1352657004831
700,96.1852861035423,0.986412897687644,96.6183574879227
800,97.0027247956403,0.98804925156929,96.7793880837359
900,95.6403269754768,0.985411413344779,95.9742351046699
1000,95.6403269754768,0.985697551728455,95.9742351046699
3109,96.0490463215259,0.986895756210097,96.4573268921095
