n,accuracy
4,17.708333333333336
5,68.75
6,72.91666666666666
7,89.58333333333334
8,96.875
9,95.83333333333334
10,94.79166666666666
11,95.83333333333334
12,92.70833333333334
13,89.58333333333334
14,92.70833333333334
15,92.70833333333334
16,93.75
17,92.70833333333334
18,92.70833333333334
19,92.70833333333334
20,93.75
21,91.66666666666666
22,91.66666666666666
23,91.66666666666666
24,95.83333333333334
25,96.875
26,88.54166666666666
27,84.375
28,90.625
29,92.70833333333334
30,92.70833333333334
31,90.625
32,91.66666666666666
33,93.75
34,92.70833333333334
35,87.5
36,88.54166666666666
37,86.45833333333334
38,86.45833333333334
39,87.5
40,87.5
41,87.5
42,89.58333333333334
43,90.625
44,79.16666666666666
45,82.29166666666666
46,84.375
47,79.16666666666666
48,64.58333333333334
49,68.75
50,81.25
51,68.75
52,70.83333333333334
53,69.79166666666666
54,67.70833333333334
55,60.416666666666664
56,55.208333333333336
57,56.25
58,51.041666666666664
59,55.208333333333336
60,59.375
61,89.58333333333334
62,90.625
63,89.58333333333334
64,90.625
65,89.58333333333334
66,89.58333333333334
67,85.41666666666666
68,10.416666666666668
69,91.66666666666666
70,76.04166666666666
71,11.458333333333332
72,76.04166666666666
73,76.04166666666666
74,92.70833333333334
75,92.70833333333334
76,53.125
77,92.70833333333334
78,66.66666666666666
79,33.33333333333333
80,92.70833333333334
81,92.70833333333334
82,92.70833333333334
83,7.291666666666667
84,7.291666666666667
85,7.291666666666667
86,7.291666666666667
87,92.70833333333334
88,7.291666666666667
89,92.70833333333334
90,84.375
91,92.70833333333334
92,65.625
93,44.79166666666667
94,92.70833333333334
95,92.70833333333334
96,92.70833333333334
97,14.583333333333334
98,84.375
99,92.70833333333334
100,92.70833333333334
