train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,96.875,0.979133226324238,96,96.875
4,92.7083333333333,0.937399678972713,96,92.7083333333333
6,92.7083333333333,0.937399678972713,96,92.7083333333333
8,92.7083333333333,0.937399678972713,96,92.7083333333333
10,92.7083333333333,0.937399678972713,96,92.7083333333333
12,95.8333333333333,0.971107544141252,96,95.8333333333333
14,95.8333333333333,0.971107544141252,96,95.8333333333333
16,96.875,0.982343499197432,96,96.875
18,96.875,0.982343499197432,96,96.875
20,96.875,0.982343499197432,96,96.875
25,96.875,0.982343499197432,96,96.875
30,96.875,0.982343499197432,96,96.875
35,96.875,0.982343499197432,96,96.875
40,96.875,0.980738362760835,96,96.875
45,96.875,0.980738362760835,96,96.875
50,96.875,0.980738362760835,96,96.875
55,96.875,0.980738362760835,96,96.875
60,96.875,0.980738362760835,96,96.875
