trainsize,accuracy
10,92.28070175438596
20,92.28070175438596
30,92.28070175438596
40,95.08771929824562
50,94.21052631578948
60,95.96491228070175
70,97.36842105263158
80,97.71929824561404
90,97.71929824561404
100,97.36842105263158
150,97.54385964912281
