train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,65.6730769230769,0.980198563317544,65.5769230769231
6,85.7692307692308,0.973509206687788,85.7692307692308
8,85.6730769230769,0.975556008657737,85.6730769230769
10,76.4423076923077,0.972356410175978,76.3461538461538
12,76.5384615384616,0.97261520122965,76.4423076923077
14,76.5384615384616,0.972340725869695,76.4423076923077
16,81.5384615384616,0.979759402741617,81.4423076923077
18,81.5384615384616,0.979837824273032,81.4423076923077
20,86.8269230769231,0.987303554063804,86.8269230769231
25,95.8653846153846,0.992957746478873,95.8653846153846
30,94.5192307692308,0.990848207283792,94.5192307692308
35,94.5192307692308,0.987319238370087,94.5192307692308
40,95.5769230769231,0.995757395150413,95.5769230769231
45,95.5769230769231,0.995718184384705,95.5769230769231
50,97.3076923076923,0.99644750462687,97.3076923076923
55,97.5,0.996455346780012,97.5
60,97.5,0.99644750462687,97.5
65,97.5,0.996455346780012,97.5
70,97.5961538461539,0.996408293861163,97.5961538461539
75,97.5961538461539,0.996361240942313,97.5961538461539
80,97.7884615384615,0.996251450798331,97.7884615384615
85,97.7884615384615,0.996267135104614,97.7884615384615
90,97.9807692307692,0.996282819410897,97.9807692307692
95,97.9807692307692,0.996282819410897,97.9807692307692
100,97.9807692307692,0.996282819410897,97.9807692307692
200,98.3653846153846,0.996102449888641,98.3653846153846
300,97.6923076923077,0.995059443520813,97.6923076923077
400,98.5576923076923,0.995882869600677,98.5576923076923
500,98.75,0.995914238213244,98.75
600,98.75,0.995875027447536,98.75
700,98.9423076923077,0.995898553906961,98.9423076923077
800,98.75,0.995584867781298,98.75
900,98.6538461538462,0.995388813952759,98.6538461538462
1000,98.6538461538462,0.995420182565325,98.6538461538462
2378,98.75,0.995247655196211,98.75
