n,accuracy
4,7.291666666666667
5,30.208333333333332
6,79.16666666666666
7,73.95833333333334
8,67.70833333333334
9,69.79166666666666
10,71.875
11,96.875
12,92.70833333333334
13,92.70833333333334
14,85.41666666666666
15,83.33333333333334
16,89.58333333333334
17,92.70833333333334
18,91.66666666666666
19,92.70833333333334
20,93.75
21,96.875
22,95.83333333333334
23,96.875
24,96.875
25,92.70833333333334
26,89.58333333333334
27,90.625
28,91.66666666666666
29,90.625
30,88.54166666666666
31,88.54166666666666
32,89.58333333333334
33,93.75
34,93.75
35,93.75
36,94.79166666666666
37,94.79166666666666
38,94.79166666666666
39,95.83333333333334
40,93.75
41,85.41666666666666
42,85.41666666666666
43,84.375
44,85.41666666666666
45,84.375
46,81.25
47,81.25
48,81.25
49,83.33333333333334
50,83.33333333333334
51,85.41666666666666
52,85.41666666666666
53,87.5
54,81.25
55,87.5
56,86.45833333333334
57,84.375
58,90.625
59,89.58333333333334
60,92.70833333333334
61,92.70833333333334
62,94.79166666666666
63,84.375
64,85.41666666666666
65,67.70833333333334
66,84.375
67,88.54166666666666
68,87.5
69,67.70833333333334
70,88.54166666666666
71,81.25
72,82.29166666666666
73,92.70833333333334
74,92.70833333333334
75,7.291666666666667
76,92.70833333333334
77,92.70833333333334
78,7.291666666666667
79,53.125
80,7.291666666666667
81,7.291666666666667
82,92.70833333333334
83,92.70833333333334
84,92.70833333333334
85,11.458333333333332
86,7.291666666666667
87,92.70833333333334
88,92.70833333333334
89,92.70833333333334
90,92.70833333333334
91,70.83333333333334
92,7.291666666666667
93,92.70833333333334
94,92.70833333333334
95,92.70833333333334
96,53.125
97,94.79166666666666
98,92.70833333333334
99,92.70833333333334
100,94.79166666666666
