train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,17.7083333333333,0.961476725521669,96,17.7083333333333
4,33.3333333333333,0.964686998394864,96,33.3333333333333
6,94.7916666666667,0.980738362760835,96,94.7916666666667
8,93.75,0.980738362760835,96,93.75
10,92.7083333333333,0.983948635634029,96,92.7083333333333
12,92.7083333333333,0.983948635634029,96,92.7083333333333
14,93.75,0.983948635634029,96,93.75
16,93.75,0.983948635634029,96,93.75
18,96.875,0.982343499197432,96,96.875
20,96.875,0.982343499197432,96,96.875
25,96.875,0.982343499197432,96,96.875
30,96.875,0.982343499197432,96,96.875
35,96.875,0.982343499197432,96,96.875
40,96.875,0.982343499197432,96,96.875
45,96.875,0.982343499197432,96,96.875
50,96.875,0.979133226324238,96,96.875
55,96.875,0.980738362760835,96,96.875
60,96.875,0.97752808988764,96,96.875
