train.size,percent.correct.labels,auc,percent.correct.intervals
2,25.1633986928105,0.835193595019611,0
4,25.1633986928105,0.835193595019611,0
6,25.1633986928105,0.835193595019611,0
8,25.1633986928105,0.835193595019611,0
10,25.1633986928105,0.835193595019611,0
12,25.1633986928105,0.835193595019611,0
14,25.1633986928105,0.835193595019611,0
16,25.1633986928105,0.835193595019611,0
18,25.1633986928105,0.835193595019611,0
20,25.1633986928105,0.835193595019611,0
25,25.1633986928105,0.835193595019611,0
30,25.1633986928105,0.835193595019611,0
35,25.1633986928105,0.835193595019611,0
40,25.1633986928105,0.835193595019611,0
45,25.1633986928105,0.835193595019611,0
50,25.1633986928105,0.835193595019611,0
55,25.1633986928105,0.835193595019611,0
60,25.1633986928105,0.835193595019611,0
65,25.1633986928105,0.835193595019611,0
70,25.1633986928105,0.835193595019611,0
75,25.1633986928105,0.835193595019611,0
80,25.1633986928105,0.835193595019611,0
85,25.1633986928105,0.835193595019611,0
90,25.1633986928105,0.835193595019611,0
95,25.1633986928105,0.835193595019611,0
100,25.1633986928105,0.835193595019611,0
200,25.1633986928105,0.835193595019611,0
243,25.1633986928105,0.835193595019611,0
