train.size,percent.correct.labels,auc,percent.correct.intervals
2,45,0.933443900976368,0
4,45,0.933443900976368,0
6,45,0.933443900976368,0
8,45,0.933443900976368,0
10,45,0.933443900976368,0
12,45,0.933443900976368,0
14,45,0.933443900976368,0
16,45,0.933443900976368,0
18,45,0.933443900976368,0
20,45,0.933443900976368,0
25,45,0.933443900976368,0
30,45,0.933443900976368,0
35,45,0.933443900976368,0
40,45,0.933443900976368,0
45,45,0.933443900976368,0
50,45,0.933443900976368,0
55,45,0.933443900976368,0
60,45,0.933443900976368,0
65,45,0.933443900976368,0
70,45,0.933443900976368,0
75,45,0.933443900976368,0
80,45,0.933443900976368,0
85,45,0.933443900976368,0
90,45,0.933443900976368,0
95,45,0.933443900976368,0
100,45,0.933443900976368,0
200,45,0.933443900976368,0
300,45,0.933443900976368,0
336,45,0.933443900976368,0
