train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,57.2916666666667,0.961476725521669,96,57.2916666666667
4,47.9166666666667,0.961476725521669,96,47.9166666666667
6,62.5,0.961476725521669,96,61.4583333333333
8,63.5416666666667,0.961476725521669,96,63.5416666666667
10,63.5416666666667,0.961476725521669,96,63.5416666666667
12,63.5416666666667,0.961476725521669,96,63.5416666666667
14,68.75,0.961476725521669,96,68.75
16,68.75,0.961476725521669,96,68.75
18,73.9583333333333,0.961476725521669,96,73.9583333333334
20,73.9583333333333,0.961476725521669,96,73.9583333333334
25,73.9583333333333,0.961476725521669,96,73.9583333333334
30,73.9583333333333,0.961476725521669,96,73.9583333333334
35,73.9583333333333,0.961476725521669,96,73.9583333333334
40,73.9583333333333,0.961476725521669,96,73.9583333333334
45,73.9583333333333,0.961476725521669,96,73.9583333333334
50,75,0.961476725521669,96,75
55,81.25,0.961476725521669,96,81.25
60,81.25,0.961476725521669,96,81.25
