train.size,percent.correct.labels,auc,percent.correct.intervals
2,46.1538461538462,0.907174556213018,11.5384615384615
4,46.1538461538462,0.907174556213018,11.5384615384615
6,65.3846153846154,0.907174556213018,50
8,63.4615384615385,0.907174556213018,46.1538461538462
10,63.4615384615385,0.907174556213018,46.1538461538462
12,63.4615384615385,0.907174556213018,46.1538461538462
14,65.3846153846154,0.907174556213018,50
16,65.3846153846154,0.907174556213018,50
18,65.3846153846154,0.907174556213018,50
20,65.3846153846154,0.907174556213018,50
25,65.3846153846154,0.907174556213018,50
30,63.4615384615385,0.907174556213018,46.1538461538462
35,65.3846153846154,0.907174556213018,50
40,65.3846153846154,0.907174556213018,50
45,69.2307692307692,0.907174556213018,57.6923076923077
50,69.2307692307692,0.907174556213018,57.6923076923077
52,69.2307692307692,0.907174556213018,57.6923076923077
