train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
4,20.8333333333333,0.969502407704655,96,20.8333333333333
5,92.7083333333333,0.454253611556982,96,92.7083333333333
6,92.7083333333333,0.980738362760835,96,92.7083333333333
7,92.7083333333333,0.982343499197432,96,92.7083333333333
8,96.875,0.974317817014446,96,96.875
9,96.875,0.974317817014446,96,96.875
10,96.875,0.974317817014446,96,96.875
11,96.875,0.974317817014446,96,96.875
12,96.875,0.97752808988764,96,96.875
13,96.875,0.97752808988764,96,96.875
14,97.9166666666667,0.995184590690209,96,97.9166666666667
15,96.875,0.974317817014446,96,96.875
16,96.875,0.974317817014446,96,96.875
17,96.875,0.974317817014446,96,96.875
18,96.875,0.975922953451043,96,96.875
19,96.875,0.974317817014446,96,96.875
20,96.875,0.974317817014446,96,96.875
21,97.9166666666667,0.990369181380417,96,97.9166666666667
22,97.9166666666667,0.993579454253612,96,97.9166666666667
23,97.9166666666667,0.993579454253612,96,97.9166666666667
24,96.875,0.996789727126806,96,96.875
25,97.9166666666667,0.980738362760835,96,97.9166666666667
26,97.9166666666667,0.983948635634029,96,97.9166666666667
27,97.9166666666667,0.983948635634029,96,97.9166666666667
28,97.9166666666667,0.980738362760835,96,97.9166666666667
29,97.9166666666667,0.983948635634029,96,97.9166666666667
30,97.9166666666667,0.97752808988764,96,97.9166666666667
31,96.875,0.995184590690209,96,96.875
32,97.9166666666667,0.982343499197432,96,97.9166666666667
33,97.9166666666667,0.974317817014446,96,97.9166666666667
34,97.9166666666667,0.979133226324238,96,97.9166666666667
35,97.9166666666667,0.991974317817014,96,97.9166666666667
36,97.9166666666667,0.991974317817014,96,97.9166666666667
37,97.9166666666667,0.991974317817014,96,97.9166666666667
38,97.9166666666667,0.991974317817014,96,97.9166666666667
39,98.9583333333333,0.998394863563403,96,98.9583333333334
40,96.875,0.995184590690209,96,96.875
41,96.875,0.995184590690209,96,96.875
42,96.875,0.995184590690209,96,96.875
43,97.9166666666667,0.995184590690209,96,97.9166666666667
44,96.875,0.995184590690209,96,96.875
45,96.875,0.995184590690209,96,96.875
46,96.875,0.995184590690209,96,96.875
47,96.875,0.995184590690209,96,96.875
48,96.875,0.995184590690209,96,96.875
49,96.875,0.995184590690209,96,96.875
50,96.875,0.995184590690209,96,96.875
51,96.875,0.995184590690209,96,96.875
52,96.875,0.995184590690209,96,96.875
53,97.9166666666667,0.995184590690209,96,97.9166666666667
54,97.9166666666667,0.996789727126806,96,97.9166666666667
55,97.9166666666667,0.995184590690209,96,97.9166666666667
56,97.9166666666667,0.995184590690209,96,97.9166666666667
57,96.875,0.991974317817014,96,96.875
58,96.875,0.991974317817014,96,96.875
59,96.875,0.991974317817014,96,96.875
60,97.9166666666667,0.996789727126806,96,97.9166666666667
