train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,,,96,
4,17.7083333333333,0.961476725521669,96,17.7083333333333
6,57.2916666666667,0.969502407704655,96,56.25
8,57.2916666666667,0.967897271268058,96,56.25
10,57.2916666666667,0.967897271268058,96,56.25
12,63.5416666666667,0.964686998394864,96,63.5416666666667
14,65.625,0.964686998394864,96,65.625
16,96.875,0.993579454253612,96,96.875
18,92.7083333333333,0.998394863563403,96,92.7083333333333
20,92.7083333333333,0.998394863563403,96,92.7083333333333
25,92.7083333333333,0.998394863563403,96,92.7083333333333
30,92.7083333333333,0.995184590690209,96,92.7083333333333
35,92.7083333333333,0.995184590690209,96,92.7083333333333
40,92.7083333333333,0.995184590690209,96,92.7083333333333
45,92.7083333333333,0.993579454253612,96,92.7083333333333
50,92.7083333333333,0.993579454253612,96,92.7083333333333
55,92.7083333333333,0.993579454253612,96,92.7083333333333
60,92.7083333333333,0.993579454253612,96,92.7083333333333
65,92.7083333333333,0.995184590690209,96,92.7083333333333
70,92.7083333333333,0.995184590690209,96,92.7083333333333
75,92.7083333333333,0.995184590690209,96,92.7083333333333
80,96.875,0.991974317817014,96,96.875
85,96.875,0.990369181380417,96,96.875
90,96.875,0.990369181380417,96,96.875
95,96.875,0.990369181380417,96,96.875
100,96.875,0.990369181380417,96,96.875
200,96.875,0.991974317817014,96,96.875
300,96.875,0.991974317817014,96,96.875
400,96.875,0.991974317817014,96,96.875
500,96.875,0.991974317817014,96,96.875
600,96.875,0.990369181380417,96,96.875
700,96.875,0.990369181380417,96,96.875
800,96.875,0.990369181380417,96,96.875
900,96.875,0.990369181380417,96,96.875
1000,96.875,0.990369181380417,96,96.875
3322,96.875,0.990369181380417,96,96.875
