train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,96.7455621301775,0.986193293885601,84.6153846153846
6,,,
8,,,
10,,,
12,,,
14,,,
16,96.1538461538462,0.985042735042735,80.7692307692308
18,96.4497041420118,0.985371466140697,82.6923076923077
20,97.0414201183432,0.985089696628158,84.6153846153846
25,97.9289940828402,0.9890344698037,90.3846153846154
30,97.3372781065089,0.985465389311543,86.5384615384616
35,97.3372781065089,0.985254062177139,86.5384615384616
40,96.4497041420118,0.985254062177139,82.6923076923077
45,96.7455621301775,0.986381140227294,82.6923076923077
50,96.4497041420118,0.986428101812717,80.7692307692308
55,96.7455621301775,0.986756832910679,82.6923076923077
60,97.0414201183432,0.986897717666949,84.6153846153846
65,97.0414201183432,0.986827275288814,84.6153846153846
70,92.3076923076923,0.980839673147365,76.9230769230769
75,96.4497041420118,0.98647506339814,82.6923076923077
80,96.7455621301775,0.986827275288814,82.6923076923077
85,95.2662721893491,0.98572367803137,88.4615384615385
90,93.491124260355,0.980111768573307,80.7692307692308
95,93.491124260355,0.979806518268057,80.7692307692308
100,97.3372781065089,0.990443317366394,86.5384615384616
130,97.9289940828402,0.992603550295858,90.3846153846154
