train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,,,
6,,,
8,,,
10,,,
12,97.8910369068541,0.997394540942928,97.8910369068542
14,98.066783831283,0.997125723738627,98.066783831283
16,98.2425307557118,0.997477253928867,98.2425307557118
18,98.4182776801406,0.997435897435897,98.4182776801406
20,98.4182776801406,0.997477253928867,98.4182776801406
25,98.066783831283,0.996877584780811,98.066783831283
30,98.2425307557118,0.997167080231596,98.2425307557118
35,98.2425307557118,0.996836228287841,98.2425307557118
40,98.4182776801406,0.996939619520265,98.4182776801406
45,98.2425307557118,0.996712158808933,98.2425307557118
50,98.4182776801406,0.996856906534326,98.4182776801406
55,91.3884007029877,0.941377171215881,91.3884007029877
60,92.091388400703,0.942659222497932,92.091388400703
65,92.2671353251318,0.944458229942101,92.2671353251318
70,91.9156414762742,0.934925558312655,91.9156414762742
75,92.4428822495606,0.942162944582299,92.4428822495606
80,96.4850615114236,0.99660876757651,96.4850615114236
85,97.1880492091388,0.996856906534326,97.1880492091388
90,98.066783831283,0.997167080231596,98.066783831283
95,98.2425307557118,0.997311827956989,98.2425307557118
100,97.1880492091388,0.997001654259719,97.1880492091388
200,98.066783831283,0.997704714640198,98.066783831283
300,97.5395430579965,0.997208436724566,97.5395430579965
400,98.5940246045694,0.997311827956989,98.5940246045694
500,98.9455184534271,0.99727047146402,98.9455184534271
600,98.9455184534271,0.99758064516129,98.9455184534271
700,98.9455184534271,0.997435897435897,98.9455184534271
800,98.4182776801406,0.997332506203474,98.4182776801406
900,98.4182776801406,0.997353184449959,98.4182776801406
1000,98.9455184534271,0.997601323407775,98.9455184534271
2849,98.9455184534271,0.997229114971051,98.9455184534271
