train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,,,567,
4,,,567,
6,76.7195767195767,0.995647807164379,567,76.7195767195767
8,80.2469135802469,0.995438567124205,567,80.2469135802469
10,79.8941798941799,0.995020087043857,567,79.8941798941799
12,74.2504409171076,0.996401071309006,567,74.2504409171076
14,76.5432098765432,0.996421995313023,567,76.5432098765432
16,79.3650793650794,0.996254603280884,567,79.3650793650794
18,72.4867724867725,0.996359223300971,567,72.4867724867725
20,72.663139329806,0.996296451288919,567,72.663139329806
25,83.4215167548501,0.996861399397389,567,83.4215167548501
30,97.1781305114639,0.996149983260797,567,97.1781305114639
35,80.4232804232804,0.994413290927352,567,80.4232804232804
40,96.8253968253968,0.995333947104118,567,96.8253968253968
45,87.1252204585538,0.990437730164044,567,87.1252204585538
50,93.6507936507937,0.991755942417141,567,93.6507936507937
55,97.5308641975309,0.994455138935387,567,97.5308641975309
60,96.2962962962963,0.994329594911282,567,96.2962962962963
65,96.4726631393298,0.994308670907265,567,96.4726631393298
70,95.9435626102293,0.994978239035822,567,95.9435626102293
75,95.7671957671958,0.994894543019752,567,95.7671957671958
80,96.4726631393298,0.994643454971543,567,96.4726631393298
85,96.6490299823633,0.9943505189153,567,96.6490299823633
90,97.1781305114639,0.994455138935387,567,97.1781305114639
95,96.6490299823633,0.994287746903247,567,96.6490299823633
100,96.2962962962963,0.994559758955474,567,96.2962962962963
200,96.6490299823633,0.995250251088048,567,96.6490299823633
