trainsize,accuracy
10,92.28070175438596
20,94.56140350877193
30,93.6842105263158
40,95.26315789473684
50,95.43859649122807
60,95.6140350877193
70,94.91228070175438
80,96.14035087719299
90,96.49122807017544
100,96.66666666666667
150,97.36842105263158
