train.size,model,accuracy.percent
800,unsup_BIC_1,93.4280639431616
800,unreg_linear_1,96.9804618117229
800,unreg_linear_2,98.2238010657194
800,L1reg_linear_117,98.7566607460036
900,baseline_0,93.6056838365897
900,unsup_BIC_1,93.4280639431616
900,unreg_linear_1,96.9804618117229
900,unreg_linear_2,98.4014209591474
900,L1reg_linear_117,98.5790408525755
1000,baseline_0,93.6056838365897
1000,unsup_BIC_1,93.4280639431616
1000,unreg_linear_1,96.9804618117229
1000,unreg_linear_2,98.2238010657194
1000,L1reg_linear_117,98.7566607460036
2855,baseline_0,93.2504440497336
2855,unsup_BIC_1,93.4280639431616
2855,unreg_linear_1,96.9804618117229
2855,unreg_linear_2,98.4014209591474
2855,L1reg_linear_117,98.5790408525755
