n,accuracy
4,95.8333333333333
5,95.8333333333333
6,95.8333333333333
7,96.875
8,96.875
9,96.875
10,96.875
11,96.875
12,96.875
13,96.875
14,96.875
15,96.875
16,96.875
17,96.875
18,96.875
19,96.875
20,96.875
21,96.875
22,96.875
23,96.875
24,96.875
25,96.875
26,96.875
27,96.875
28,96.875
29,96.875
30,96.875
31,96.875
32,96.875
33,96.875
34,96.875
35,96.875
36,96.875
37,96.875
38,96.875
39,96.875
40,96.875
41,96.875
42,96.875
43,96.875
44,96.875
45,96.875
46,96.875
47,97.9166666666667
48,97.9166666666667
49,97.9166666666667
50,97.9166666666667
51,97.9166666666667
52,97.9166666666667
53,97.9166666666667
54,97.9166666666667
55,97.9166666666667
56,97.9166666666667
57,97.9166666666667
58,97.9166666666667
59,97.9166666666667
60,97.9166666666667
