trainsize,accuracy
10,61.458333333333336
20,94.79166666666666
30,92.70833333333334
40,92.70833333333334
50,92.70833333333334
60,92.70833333333334
70,92.70833333333334
80,92.70833333333334
90,92.70833333333334
100,92.70833333333334
150,92.70833333333334
