train.size,percent.correct.labels,auc,N.test,percent.correct.intervals
2,56.3157894736842,0.989719014545378,570,56.3157894736842
4,58.421052631579,0.956194979839135,570,58.421052631579
6,61.0526315789474,0.955076104625388,570,61.0526315789474
8,59.6491228070175,0.956786083725643,570,59.6491228070175
10,55.7894736842105,0.947940636281112,570,55.7894736842105
12,82.8070175438596,0.987059047056091,570,82.8070175438597
14,82.4561403508772,0.986890160231375,570,82.4561403508772
16,82.8070175438596,0.987059047056091,570,82.8070175438597
18,98.2456140350877,0.995123392936309,570,98.2456140350877
20,98.0701754385965,0.995123392936309,570,98.0701754385965
25,98.2456140350877,0.995123392936309,570,98.2456140350877
30,98.0701754385965,0.995123392936309,570,98.0701754385965
35,98.421052631579,0.995250058054846,570,98.421052631579
40,98.2456140350877,0.995271168907936,570,98.2456140350877
45,98.2456140350877,0.995123392936309,570,98.2456140350877
50,98.2456140350877,0.995123392936309,570,98.2456140350877
55,98.2456140350877,0.995123392936309,570,98.2456140350877
60,98.2456140350877,0.995271168907936,570,98.2456140350877
