train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,80.5263157894737,0.814473684210526,50
6,60,0.798496240601504,18.4210526315789
8,35.2631578947368,0.679511278195489,15.7894736842105
10,46.3157894736842,0.781390977443609,15.7894736842105
12,36.8421052631579,0.654135338345865,21.0526315789474
14,,,
16,,,
18,78.9473684210526,0.806484962406015,47.3684210526316
20,79.4736842105263,0.812687969924812,44.7368421052632
25,78.9473684210526,0.81015037593985,44.7368421052632
30,78.9473684210526,0.82734962406015,44.7368421052632
35,68.421052631579,0.813815789473684,28.9473684210526
40,68.421052631579,0.814661654135338,26.3157894736842
45,67.8947368421053,0.812593984962406,23.6842105263158
50,64.7368421052632,0.806296992481203,13.1578947368421
55,64.2105263157895,0.809962406015038,15.7894736842105
57,62.1052631578947,0.806578947368421,13.1578947368421
