train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,,,
6,,,
8,,,
10,,,
12,,,
14,,,
16,,,
18,,,
20,,,
25,,,
30,97.4683544303798,0.994049130955405,97.4683544303798
35,97.4683544303798,0.994142437264466,97.4683544303798
40,97.5587703435805,0.994183906735161,97.4683544303798
45,95.1175406871609,0.993287129431402,95.1175406871609
50,97.1971066907776,0.993800314131241,97.1971066907776
55,97.1066907775769,0.992711740525522,97.0162748643761
60,96.8354430379747,0.991503942191558,96.745027124774
65,97.1066907775769,0.992758393680053,97.0162748643761
70,97.2875226039783,0.994308315147243,97.2875226039783
75,97.2875226039783,0.993551497307076,97.1971066907776
80,97.6491862567812,0.994334233566426,97.5587703435805
85,97.2875226039783,0.994655621964305,97.2875226039783
90,97.4683544303798,0.994494927765366,97.4683544303798
95,97.377938517179,0.994598601442101,97.2875226039783
100,97.377938517179,0.994121702529119,97.2875226039783
200,97.8300180831826,0.993307864166749,97.8300180831826
300,97.8300180831826,0.993929906227159,97.8300180831826
400,98.1012658227848,0.99574937925386,98.1012658227848
500,97.8300180831826,0.995640521893289,97.8300180831826
600,97.7396021699819,0.994837050898592,97.7396021699819
700,98.0108499095841,0.995630154525615,98.0108499095841
800,98.0108499095841,0.995609419790268,98.0108499095841
900,97.8300180831826,0.995650889260962,97.8300180831826
1000,98.0108499095841,0.995806399776065,98.0108499095841
2312,98.1012658227848,0.996672074976803,98.1012658227848
