n,accuracy
4,90.52631578947368
5,89.64912280701755
6,94.56140350877193
7,94.56140350877193
8,94.73684210526315
9,95.08771929824562
10,94.73684210526315
11,95.08771929824562
12,94.38596491228071
13,94.56140350877193
14,94.38596491228071
15,95.08771929824562
16,94.73684210526315
17,94.73684210526315
18,95.26315789473684
19,94.73684210526315
20,95.6140350877193
21,95.78947368421052
22,95.78947368421052
23,95.43859649122807
24,95.43859649122807
25,95.78947368421052
26,96.49122807017544
27,94.91228070175438
28,95.08771929824562
29,95.78947368421052
30,94.73684210526315
31,94.91228070175438
32,95.78947368421052
33,95.43859649122807
34,95.43859649122807
35,95.43859649122807
36,95.6140350877193
37,95.78947368421052
38,95.78947368421052
39,95.78947368421052
40,95.78947368421052
41,95.6140350877193
42,95.78947368421052
43,95.6140350877193
44,95.78947368421052
45,95.6140350877193
46,95.78947368421052
47,95.78947368421052
48,95.6140350877193
49,96.84210526315789
50,95.96491228070175
51,97.36842105263158
52,95.96491228070175
53,97.19298245614036
54,97.36842105263158
55,97.19298245614036
56,95.78947368421052
57,97.01754385964912
58,97.19298245614036
59,97.36842105263158
60,97.19298245614036
61,97.01754385964912
62,97.19298245614036
63,97.36842105263158
64,96.66666666666667
65,96.14035087719299
66,96.49122807017544
67,97.01754385964912
68,96.14035087719299
69,96.3157894736842
70,96.66666666666667
71,96.84210526315789
72,96.84210526315789
73,96.14035087719299
74,96.84210526315789
75,96.3157894736842
76,96.66666666666667
77,97.01754385964912
78,96.3157894736842
79,96.66666666666667
80,96.84210526315789
81,96.49122807017544
82,96.49122807017544
83,96.49122807017544
84,96.49122807017544
85,96.66666666666667
86,96.49122807017544
87,96.3157894736842
88,96.3157894736842
89,96.49122807017544
90,96.66666666666667
91,96.3157894736842
92,96.49122807017544
93,96.49122807017544
94,96.14035087719299
95,96.3157894736842
96,96.66666666666667
97,96.49122807017544
98,96.14035087719299
99,95.96491228070175
100,95.96491228070175
