train.size,percent.correct.labels,auc,percent.correct.intervals
2,0,0.987892512077295,0
4,0,0.987892512077295,0
6,0,0.987892512077295,0
8,0,0.987892512077295,0
10,0,0.987892512077295,0
12,0,0.987892512077295,0
14,0,0.987892512077295,0
16,0,0.987892512077295,0
18,0,0.987892512077295,0
20,0,0.987892512077295,0
25,0,0.987892512077295,0
30,0,0.987892512077295,0
35,0,0.987892512077295,0
40,0,0.987892512077295,0
45,0,0.987892512077295,0
50,0,0.987892512077295,0
55,0,0.987892512077295,0
60,0,0.987892512077295,0
65,0,0.987892512077295,0
70,0,0.987892512077295,0
75,0,0.987892512077295,0
80,0,0.987892512077295,0
85,0,0.987892512077295,0
90,0,0.987892512077295,0
95,0,0.987892512077295,0
100,0,0.987892512077295,0
120,0,0.987892512077295,0
