train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,,,
6,,,
8,,,
10,,,
12,,,
14,,,
16,,,
18,,,
20,,,
25,,,
30,90.3924221921516,0.967429904804403,89.6940418679549
35,90.3924221921516,0.958468131786405,89.3719806763285
40,87.5507442489851,0.919757734642273,88.7278582930757
45,88.2273342354533,0.952853078982597,87.4396135265701
50,89.4451962110961,0.931192362040756,90.0161030595813
55,89.0392422192152,0.936602893053696,89.2109500805153
60,89.5805142083897,0.95965807675145,88.4057971014493
65,92.1515561569689,0.967429904804403,91.1433172302737
70,88.362652232747,0.952853078982597,87.6006441223833
75,88.362652232747,0.952853078982597,87.6006441223833
80,91.8809201623816,0.970943961029302,91.1433172302737
85,92.4221921515562,0.971129889930091,91.6264090177134
90,90.7983761840325,0.96636081362487,89.8550724637681
95,93.234100135318,0.970711549903317,92.5925925925926
100,92.6928281461434,0.973044957608211,91.9484702093398
200,93.9106901217862,0.959769634091923,93.5587761674718
300,94.4519621109608,0.969698237394021,93.719806763285
400,94.722598105548,0.971102000594972,94.0418679549114
500,95.3991880920162,0.97066506767812,94.8470209339775
600,94.8579161028417,0.969428640487877,94.2028985507246
700,94.722598105548,0.970637178343002,94.0418679549114
800,95.3991880920162,0.970516324557489,94.8470209339775
900,94.8579161028417,0.970209541871188,94.2028985507246
1000,94.9932341001353,0.968777889335118,94.524959742351
3109,95.128552097429,0.971241447270564,94.524959742351
