train.size,percent.correct.labels,auc,percent.correct.intervals
2,78.9115646258503,1,9.52380952380952
4,84.3537414965986,1,33.3333333333333
6,91.8367346938775,1,47.6190476190476
8,94.5578231292517,1,61.9047619047619
10,94.5578231292517,1,61.9047619047619
12,94.5578231292517,1,61.9047619047619
14,98.6394557823129,1,90.4761904761905
16,98.6394557823129,1,90.4761904761905
18,99.3197278911565,1,95.2380952380952
20,99.3197278911565,1,95.2380952380952
25,98.6394557823129,1,90.4761904761905
30,98.6394557823129,1,90.4761904761905
35,98.6394557823129,1,90.4761904761905
40,98.6394557823129,1,90.4761904761905
45,98.6394557823129,1,90.4761904761905
50,98.6394557823129,1,90.4761904761905
55,98.6394557823129,1,90.4761904761905
60,98.6394557823129,1,90.4761904761905
63,98.6394557823129,1,90.4761904761905
