n,accuracy
4,85.78947368421052
5,86.8421052631579
6,85.96491228070175
7,85.6140350877193
8,84.73684210526315
9,85.26315789473684
10,87.36842105263159
11,82.28070175438596
12,95.96491228070175
13,92.10526315789474
14,96.14035087719299
15,96.14035087719299
16,96.14035087719299
17,95.96491228070175
18,26.842105263157894
19,69.2982456140351
20,83.6842105263158
21,83.6842105263158
22,97.01754385964912
23,71.05263157894737
24,74.3859649122807
25,68.77192982456141
26,16.49122807017544
27,67.01754385964912
28,44.21052631578947
29,84.03508771929825
30,97.54385964912281
31,83.6842105263158
32,45.08771929824562
33,79.2982456140351
34,47.368421052631575
35,63.859649122807014
36,84.56140350877193
37,97.54385964912281
38,16.49122807017544
39,65.43859649122807
40,79.47368421052632
41,46.14035087719298
42,87.01754385964912
43,83.6842105263158
44,83.6842105263158
45,83.6842105263158
46,83.6842105263158
47,79.12280701754386
48,83.6842105263158
49,16.315789473684212
50,16.315789473684212
51,54.56140350877193
52,83.6842105263158
53,97.71929824561404
54,83.6842105263158
55,97.71929824561404
56,16.49122807017544
57,33.33333333333333
58,62.63157894736842
59,40.526315789473685
60,16.315789473684212
61,83.6842105263158
62,20.526315789473685
63,83.6842105263158
64,66.14035087719297
65,97.71929824561404
66,55.78947368421052
67,17.192982456140353
68,41.75438596491228
69,83.6842105263158
70,97.89473684210527
71,20.87719298245614
72,56.49122807017544
73,61.05263157894737
74,97.89473684210527
75,16.842105263157894
76,16.315789473684212
77,97.89473684210527
78,97.89473684210527
79,79.12280701754386
80,16.315789473684212
81,16.315789473684212
82,48.94736842105264
83,44.73684210526316
84,98.0701754385965
85,54.03508771929825
86,98.0701754385965
87,98.0701754385965
88,83.6842105263158
89,98.0701754385965
90,19.824561403508774
91,16.315789473684212
92,98.0701754385965
93,16.315789473684212
94,98.0701754385965
95,98.0701754385965
96,98.0701754385965
97,98.0701754385965
98,82.63157894736842
99,98.0701754385965
100,16.315789473684212
