trainsize,accuracy
10,91.56414762741653
20,91.91564147627417
30,94.5518453427065
40,95.07908611599298
50,95.78207381370825
60,94.02460456942003
70,94.20035149384886
80,95.43057996485061
90,95.78207381370825
100,94.90333919156416
150,96.30931458699473
