trainsize,accuracy
10,69.79166666666666
20,96.875
30,94.79166666666666
40,96.875
50,95.83333333333334
60,96.875
70,96.875
80,94.79166666666666
90,98.95833333333334
100,98.95833333333334
150,96.875
